id,owner_id,top_comment_text
456240432,-209976560,"Каждый выпуск у меня только один вопрос. Почему Алфавит отвечает за музыку, а не за текст, он же алфавит 🤣"
456240427,-209976560,золотистая барабулька
456240421,-209976560,
456240416,-209976560,Опять Жидковская 🤦🏻‍♂️ во все проекты пихают это ЛГБТшное создание 🤮
456240411,-209976560,"Не, ну выглядит реально как то, что бесплатно раздают. Однозначно зачёт, респект, смотрим"
456240405,-209976560,"Ееееебббаааать,успела забыть даже,что есть такое шоу😭"
456240399,-209976560,это афигенно
456240394,-209976560,Супер 🙌
456240386,-209976560,Ура! Уже соскучилась
456240380,-209976560,"Ахахаха
Зоя, результат превзошел все ожидания! Я буду под неё тренить💪"
456240374,-209976560,"Йе, дали финальный финал"
456240363,-209976560,
456240357,-209976560,
456240351,-209976560,лол кек
456240345,-209976560,"ура, наконец-то вернулось сколько?"
456240339,-209976560,"ну наконец-то Василий стал хоть по каким-то шоу ходить МПР, цитаты, roast, надеюсь в контакты и гв он всё-таки придёт не побоятся его дислексии там, хотя в МПР вообще не ощущалось, что у Фауста какой-то дефект есть"
456240332,-209976560,Я ПЕРВЫЙ
456240325,-209976560,"позвать человека с дислексией читать реп - это сильно, но результат удивил 😆"
456240319,-209976560,"Батюшки) Это че за Чудо) 
Ну ладно, уговорил, посмотрю
Хотя ты и не уговаривал"
456240312,-209976560,Урааааа
456240303,-209976560,кто из них гей?
456240294,-209976560,🤟😂
456240285,-209976560,"круто, хотя Ваня-то из всех с кем снимали первые выпуски самый поющий"
456240274,-209976560,Еееее! Контент подъехал🔥
456240267,-209976560,"5:07 песня, которую некоторое время назад ставили просто во все музыкальные шоу, но сейчас пик популярности песни подарок прошёл"
456240256,-209976560,Ооогггонь!🔥
456240249,-209976560,Где продолэение? Эти 2 с весны уже
456240244,-209976560,"охренительная коллаборация тик токер и порноактриса, видимо вторую чисто из-за Дороха позвали, чую неординарный и интересный выпуск ожидает меня, посмотрю его чисто из-за Даши Дошик и Яны Кошкиной"
456240236,-209976560,"Как здорово, что Антону дали шоу 🙏🏻"
456240230,-209976560,чтооо? впервые в истории стыдно знать семейный выпуск? круто
456240220,-209976560,Во мать понесло 😄
456240206,-209976560,Эммм. Шта?
456240201,-209976560,🫶🏽
456240195,-209976560,Урааа!
456240185,-209976560,Что то не то...
456240181,-209976560,Минуту назад 😅
